model,kind,n,batch_ms,per_product_us,products_per_sec
deeponet_hybrid_s2don,hybrid,2315,0.9802001295611262,0.42341258296376943,2361762.593355824
deeponet_hybrid_mape,hybrid,2315,1.9889000104740262,0.8591360736388882,1163959.971747525
deeponet_hybrid_l1,hybrid,2315,1.9958000630140305,0.8621166578894299,1159935.828694142
deeponet_hybrid,hybrid,2315,2.0060499664396048,0.8665442619609524,1154009.1417108262
bench_catboost,direct,2315,2.1383999846875668,0.9237148961933334,1082585.1181149515
xgb_hybrid,hybrid,2315,2.9354499420151114,1.268012933915815,788635.4888446204
bench_ridge,direct,2315,2.944749896414578,1.2720301928356708,786144.8616803285
bench_xgboost,direct,2315,5.929800099693239,2.5614687255694335,390401.0187661739
bench_gbm,direct,2315,7.404300034977496,3.1984017429708405,312656.157781839
bench_lgbm,direct,2315,9.278849931433797,4.008142518977881,249492.12640647579
