model,R2,MAE,RMSE,MAPE%,MdAPE%,Bias%,Spearman
deeponet_hybrid_l1,0.9639599482382947,0.0033521027212819504,0.005729030416733514,0.34840387005745843,0.20672205324197093,-0.06449612525864386,0.9876919153607273
deeponet_hybrid_s2don,0.9608449756796841,0.003535331949638298,0.005971482639231315,0.36617761375346247,0.19985032181538587,0.0402539734241341,0.9785737941623717
deeponet_hybrid,0.9555050769462453,0.0037859172327267972,0.006365663173138479,0.3924004600278989,0.21846891420573186,0.06552754938135638,0.9776852506175495
deeponet_hybrid_mape,0.9534541996701095,0.003745999652640941,0.006510714866885134,0.3907395810871262,0.20747911383688974,-0.14377147239402763,0.9883632577428124
xgb_hybrid,0.9035953723669101,0.006124394801893317,0.009369951992115605,0.6313596792944034,0.3905029558416031,-0.21507950630974587,0.963022957201643
bench_catboost,0.9023935635798422,0.006403281388510871,0.00942817540200576,0.658329154695744,0.4424148375475516,-0.28679378835543223,0.96421143126237
bench_xgboost,0.8538954838405436,0.00761269891047089,0.011535070287724939,0.7829027587955997,0.46786830445669425,-0.4482707138762743,0.9500647626183037
bench_gbm,0.8417167739770989,0.008127479094458044,0.012006208238476786,0.8356215374860563,0.5159791544638068,-0.4603356169855039,0.9453185202920441
bench_lgbm,0.8355847517456824,0.008149348161555485,0.012236563585106913,0.8393623845874523,0.4917284027761241,-0.5249160732126796,0.9522532471365319
bench_ridge,0.7009624113973768,0.012438504919353437,0.01650255983064888,1.2629014035900366,0.9586209751360436,-0.2692096310594512,0.8952704260285379
